what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030487022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030487646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1401030487653
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1401030489407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030501738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030513140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030514951
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1401030520450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1401030520639
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1401030520830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030528442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030532884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1401030535791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1401030535949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1401030537675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030543640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030580633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030584391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030585977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1401030589296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1401030589502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1401030590458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030591878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030595969
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1401030601401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030602129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030605730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030606421
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1401030617540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401030617869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1401030620844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030629014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030632497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401030643284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1401030662734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1401030663063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1401030663453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030669334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030673553
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401030673717
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1401030686990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030688083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030690590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030694203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030697185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030697216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030705666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030705688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030719813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030719840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030726502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030726529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030729297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030729320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030744689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030744727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401030759366
