what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400025299389
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1400025299389
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1400025299389
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1400025299389
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1400025299389
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1400025299404
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1400025299404
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1400025299404
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1400025299513
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1400025299513
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1400025299654
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1400025299685
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1400025299685
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1400025299685
os,sysinfo,,,"win32",1400025299685
arch,sysinfo,,,"x86",1400025299685
ws,sysinfo,,,"win32",1400025299685
locale,sysinfo,,,"pt_BR",1400025299685
processors,sysinfo,,,"2",1400025299685
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400025299685
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1400025299685
java.specification.name,sysinfo,,,"Java Platform API Specification",1400025299685
java.specification.vendor,sysinfo,,,"Oracle Corporation",1400025299685
java.specification.version,sysinfo,,,"1.7",1400025299685
java.vendor,sysinfo,,,"Oracle Corporation",1400025299685
java.version,sysinfo,,,"1.7.0_05",1400025299685
java.vm.info,sysinfo,,,"mixed mode",1400025299685
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1400025299685
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400025299685
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1400025299685
java.vm.specification.version,sysinfo,,,"1.7",1400025299685
java.vm.vendor,sysinfo,,,"Oracle Corporation",1400025299685
java.vm.version,sysinfo,,,"23.1-b03",1400025299685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026362359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026364106
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1400026378006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1400026378817
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1400026380034
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1400026380283
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1400026381282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026383200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026386523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400026386539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026480024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026507666
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1400026511335
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1400026511379
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1400026511413
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1400026511604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026519421
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1400026551216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026552037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1400026552049
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1400026552192
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400026552498
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400026552530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400026554668
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1400026557905
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1400026558344
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1400026558501
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1400026558534
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1400026558628
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1400026558669
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1400026558901
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1400026558915
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1400026559233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400026559709
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1400026559796
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1400026559817
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1400026559847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400026561337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026564144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026566426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026566508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026618153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400026625774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400026643234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026646670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400026647443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1400026666953
